,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
104,2,4,1,8,0.01,ReLU6,SGD,124,0.8675005677047231,0.42,42,58
105,2,5,1,8,0.01,LeakyReLU,SGD,11,0.8675005677047231,0.42,42,58
106,2,6,1,8,0.01,Mish,SGD,5,0.9675840262617056,0.38,38,62
107,2,7,1,8,0.01,SiLU,SGD,57,1.2039728043259361,0.3,30,70
108,2,8,1,8,0.01,ReLU6,SGD,-5,0.9942522733438669,0.37,37,63
109,2,9,1,8,0.01,SELU,SGD,39,0.8675005677047231,0.42,42,58
110,2,10,1,8,0.01,SiLU,SGD,43,0.843970070294529,0.43,43,57
111,2,11,1,8,0.01,CELU,SGD,59,0.843970070294529,0.43,43,57
112,2,12,1,8,0.01,Hardswish,SGD,-54,1.2378743560016174,0.29,29,71
113,2,13,1,8,0.01,ReLU6,SGD,-7,1.2729656758128873,0.28,28,72
114,2,14,1,8,0.01,Softplus,SGD,50,0.9942522733438669,0.37,37,63
115,2,15,1,8,0.01,ReLU6,SGD,42,0.9942522733438669,0.37,37,63
116,2,16,1,8,0.01,Mish,SGD,96,0.9942522733438669,0.37,37,63
117,2,17,1,8,0.01,Softplus,SGD,76,0.6539264674066639,0.52,52,48
118,2,18,1,8,0.01,PReLU,SGD,-12,1.3093333199837622,0.27,27,73
119,2,19,1,8,0.01,ReLU6,SGD,119,0.7339691750802004,0.48,48,52
120,2,20,1,8,0.01,Mish,SGD,2,1.2039728043259361,0.3,30,70
121,2,21,1,8,0.01,ReLU,SGD,54,0.7985076962177716,0.45,45,55
122,2,22,1,8,0.01,CELU,SGD,72,0.941608539858445,0.39,39,61
123,2,23,1,8,0.01,ReLU,SGD,15,1.1086626245216111,0.33,33,67
124,2,24,1,8,0.01,Hardswish,SGD,43,1.0216512475319814,0.36,36,64
125,2,25,1,8,0.01,CELU,SGD,115,0.5621189181535413,0.57,57,43
126,2,26,1,8,0.01,CELU,SGD,64,0.8675005677047231,0.42,42,58
127,2,27,1,8,0.01,ReLU6,SGD,76,0.7985076962177716,0.45,45,55
128,2,28,1,8,0.01,ReLU,SGD,-4,1.171182981502945,0.31,31,69
129,2,29,1,8,0.01,ReLU,SGD,95,0.6931471805599453,0.5,50,50
130,2,30,1,8,0.01,SELU,SGD,69,1.0788096613719298,0.34,34,66
131,2,31,1,8,0.01,CELU,SGD,36,0.9675840262617056,0.38,38,62
132,2,32,1,8,0.01,Mish,SGD,-90,1.3093333199837622,0.27,27,73
133,2,33,1,8,0.01,Hardswish,SGD,101,0.6733445532637656,0.51,51,49
134,2,34,1,8,0.01,Softplus,SGD,49,0.9675840262617056,0.38,38,62
135,2,35,1,8,0.01,Softplus,SGD,8,1.1394342831883648,0.32,32,68
136,2,36,1,8,0.01,ReLU6,SGD,22,1.2039728043259361,0.3,30,70
137,2,37,1,8,0.01,LeakyReLU,SGD,79,1.0216512475319814,0.36,36,64
138,2,38,1,8,0.01,SiLU,SGD,48,1.2729656758128873,0.28,28,72
139,2,39,1,8,0.01,ReLU6,SGD,80,0.7133498878774648,0.49,49,51
140,2,40,1,8,0.01,PReLU,SGD,105,0.6539264674066639,0.52,52,48
141,2,41,1,8,0.01,Hardswish,SGD,5,1.2039728043259361,0.3,30,70
142,2,42,1,8,0.01,LeakyReLU,SGD,4,0.9942522733438669,0.37,37,63
143,2,43,1,8,0.01,LeakyReLU,SGD,33,1.171182981502945,0.31,31,69
144,2,44,1,8,0.01,SiLU,SGD,81,0.843970070294529,0.43,43,57
145,2,45,1,8,0.01,CELU,SGD,54,0.6539264674066639,0.52,52,48
146,2,46,1,8,0.01,Softplus,SGD,80,0.7339691750802004,0.48,48,52
147,2,47,1,8,0.01,Softplus,SGD,41,0.916290731874155,0.4,40,60
148,2,48,1,8,0.01,SELU,SGD,36,1.1394342831883648,0.32,32,68
149,2,49,1,8,0.01,ELU,SGD,84,0.843970070294529,0.43,43,57
150,3,0,1,8,0.01,LeakyReLU,SGD,-5,1.5141277326297755,0.22,22,78
151,3,1,1,8,0.01,Hardswish,SGD,165,0.5447271754416722,0.58,58,42
152,3,2,1,8,0.01,CELU,SGD,21,1.1086626245216111,0.33,33,67
153,3,3,1,8,0.01,LeakyReLU,SGD,-7,1.2378743560016174,0.29,29,71
154,3,4,1,8,0.01,Hardswish,SGD,12,1.3470736479666092,0.26,26,74
155,3,5,1,8,0.01,LeakyReLU,SGD,131,0.6539264674066639,0.52,52,48
156,3,6,1,8,0.01,LeakyReLU,SGD,36,1.0216512475319814,0.36,36,64
157,3,7,1,8,0.01,CELU,SGD,98,0.616186139423817,0.54,54,46
158,3,8,1,8,0.01,CELU,SGD,-5,1.2729656758128873,0.28,28,72
159,3,9,1,8,0.01,PReLU,SGD,69,1.0498221244986778,0.35,35,65
160,3,10,1,8,0.01,Hardswish,SGD,-19,1.4271163556401458,0.24,24,76
161,3,11,1,8,0.01,Softplus,SGD,55,0.7550225842780328,0.47,47,53
162,3,12,1,8,0.01,ELU,SGD,108,0.7550225842780328,0.47,47,53
163,3,13,1,8,0.01,ELU,SGD,44,1.0216512475319814,0.36,36,64
164,3,14,1,8,0.01,ReLU,SGD,50,0.9675840262617056,0.38,38,62
165,3,15,1,8,0.01,ELU,SGD,53,0.9942522733438669,0.37,37,63
166,3,16,1,8,0.01,ELU,SGD,98,0.7985076962177716,0.45,45,55
167,3,17,1,8,0.01,CELU,SGD,-34,1.2378743560016174,0.29,29,71
168,3,18,1,8,0.01,ReLU,SGD,146,0.40047756659712525,0.67,67,33
169,3,19,1,8,0.01,PReLU,SGD,43,0.9942522733438669,0.37,37,63
170,3,20,1,8,0.01,Mish,SGD,67,0.7985076962177716,0.45,45,55
171,3,21,1,8,0.01,LeakyReLU,SGD,120,0.5108256237659907,0.6,60,40
172,3,22,1,8,0.01,ReLU6,SGD,-19,1.2378743560016174,0.29,29,71
173,3,23,1,8,0.01,SELU,SGD,77,0.916290731874155,0.4,40,60
174,3,24,1,8,0.01,LeakyReLU,SGD,92,0.8209805520698302,0.44,44,56
175,3,25,1,8,0.01,ReLU,SGD,-26,1.5141277326297755,0.22,22,78
176,3,26,1,8,0.01,ReLU,SGD,40,0.916290731874155,0.4,40,60
177,3,27,1,8,0.01,ELU,SGD,104,0.6348782724359695,0.53,53,47
178,3,28,1,8,0.01,ReLU6,SGD,85,0.916290731874155,0.4,40,60
179,3,29,1,8,0.01,Softplus,SGD,85,0.7765287894989963,0.46,46,54
180,3,30,1,8,0.01,ReLU,SGD,50,1.0498221244986778,0.35,35,65
181,3,31,1,8,0.01,LeakyReLU,SGD,93,0.7550225842780328,0.47,47,53
182,3,32,1,8,0.01,Mish,SGD,120,0.5978370007556204,0.55,55,45
183,3,33,1,8,0.01,LeakyReLU,SGD,-18,1.2378743560016174,0.29,29,71
184,3,34,1,8,0.01,Mish,SGD,32,1.3093333199837622,0.27,27,73
185,3,35,1,8,0.01,SELU,SGD,62,0.916290731874155,0.4,40,60
186,3,36,1,8,0.01,LeakyReLU,SGD,83,0.9675840262617056,0.38,38,62
187,3,37,1,8,0.01,Hardswish,SGD,73,0.9942522733438669,0.37,37,63
188,3,38,1,8,0.01,ELU,SGD,31,1.0216512475319814,0.36,36,64
189,3,39,1,8,0.01,CELU,SGD,63,1.0498221244986778,0.35,35,65
190,3,40,1,8,0.01,PReLU,SGD,41,1.0498221244986778,0.35,35,65
191,3,41,1,8,0.01,SELU,SGD,54,1.1086626245216111,0.33,33,67
192,3,42,1,8,0.01,Mish,SGD,49,1.0498221244986778,0.35,35,65
193,3,43,1,8,0.01,Mish,SGD,116,0.6931471805599453,0.5,50,50
194,3,44,1,8,0.01,Mish,SGD,6,0.941608539858445,0.39,39,61
195,3,45,1,8,0.01,ReLU,SGD,35,0.9942522733438669,0.37,37,63
196,3,46,1,8,0.01,CELU,SGD,77,0.7550225842780328,0.47,47,53
197,3,47,1,8,0.01,SiLU,SGD,6,1.0788096613719298,0.34,34,66
198,3,48,1,8,0.01,LeakyReLU,SGD,42,1.3093333199837622,0.27,27,73
199,3,49,1,8,0.01,SiLU,SGD,82,0.7339691750802004,0.48,48,52
200,4,0,1,8,0.01,ReLU6,SGD,47,0.8915981192837836,0.41,41,59
201,4,1,1,8,0.01,Mish,SGD,31,1.2378743560016174,0.29,29,71
202,4,2,1,8,0.01,ReLU6,SGD,102,0.7133498878774648,0.49,49,51
203,4,3,1,8,0.01,PReLU,SGD,37,1.2039728043259361,0.3,30,70
204,4,4,1,8,0.01,SiLU,SGD,43,1.2378743560016174,0.29,29,71
205,4,5,1,8,0.01,Mish,SGD,31,1.0498221244986778,0.35,35,65
206,4,6,1,8,0.01,LeakyReLU,SGD,-58,1.4696759700589417,0.23,23,77
207,4,7,1,8,0.01,PReLU,SGD,17,1.171182981502945,0.31,31,69
208,4,8,1,8,0.01,ELU,SGD,46,0.843970070294529,0.43,43,57
209,4,9,1,8,0.01,ReLU,SGD,-13,1.4696759700589417,0.23,23,77
210,4,10,1,8,0.01,ELU,SGD,39,0.7765287894989963,0.46,46,54
211,4,11,1,8,0.01,CELU,SGD,-27,1.5606477482646683,0.21,21,79
212,4,12,1,8,0.01,Hardswish,SGD,47,0.941608539858445,0.39,39,61
213,4,13,1,8,0.01,CELU,SGD,99,0.843970070294529,0.43,43,57
214,4,14,1,8,0.01,ReLU,SGD,90,1.1086626245216111,0.33,33,67
215,4,15,1,8,0.01,ReLU6,SGD,48,0.9675840262617056,0.38,38,62
216,4,16,1,8,0.01,Softplus,SGD,12,1.0498221244986778,0.35,35,65
217,4,17,1,8,0.01,Hardswish,SGD,12,1.2378743560016174,0.29,29,71
218,4,18,1,8,0.01,SiLU,SGD,-67,1.5606477482646683,0.21,21,79
