,row,column,hidden_layers,hidden_size,learning_rate,activation,optimizer,hp,surprisal,accuracy,good_outcomes,bad_outcomes
176,3,26,1,17,0.01,ReLU,SGD,19,1.0788096613719298,0.34,34,66
177,3,27,1,10,0.01,ReLU,SGD,70,1.0498221244986778,0.35,35,65
178,3,28,1,39,0.01,ReLU,SGD,49,1.0498221244986778,0.35,35,65
179,3,29,1,59,0.01,ReLU,SGD,68,0.916290731874155,0.4,40,60
180,3,30,1,15,0.01,ReLU,SGD,13,1.171182981502945,0.31,31,69
181,3,31,1,37,0.01,ReLU,SGD,19,1.0788096613719298,0.34,34,66
182,3,32,1,48,0.01,ReLU,SGD,48,0.9942522733438669,0.37,37,63
183,3,33,1,43,0.01,ReLU,SGD,54,0.8915981192837836,0.41,41,59
184,3,34,1,25,0.01,ReLU,SGD,62,0.9942522733438669,0.37,37,63
185,3,35,1,46,0.01,ReLU,SGD,106,1.0498221244986778,0.35,35,65
186,3,36,1,52,0.01,ReLU,SGD,30,0.8675005677047231,0.42,42,58
187,3,37,1,42,0.01,ReLU,SGD,66,0.8209805520698302,0.44,44,56
188,3,38,1,40,0.01,ReLU,SGD,27,1.171182981502945,0.31,31,69
189,3,39,1,21,0.01,ReLU,SGD,34,1.1394342831883648,0.32,32,68
190,3,40,1,23,0.01,ReLU,SGD,50,0.8675005677047231,0.42,42,58
191,3,41,1,30,0.01,ReLU,SGD,86,0.843970070294529,0.43,43,57
192,3,42,1,45,0.01,ReLU,SGD,63,1.0498221244986778,0.35,35,65
193,3,43,1,21,0.01,ReLU,SGD,36,1.0788096613719298,0.34,34,66
194,3,44,1,17,0.01,ReLU,SGD,32,1.0216512475319814,0.36,36,64
195,3,45,1,22,0.01,ReLU,SGD,59,0.941608539858445,0.39,39,61
196,3,46,1,34,0.01,ReLU,SGD,77,1.0788096613719298,0.34,34,66
197,3,47,1,36,0.01,ReLU,SGD,60,0.9942522733438669,0.37,37,63
198,3,48,1,8,0.01,ReLU,SGD,61,1.2378743560016174,0.29,29,71
199,3,49,1,14,0.01,ReLU,SGD,30,1.171182981502945,0.31,31,69
